Statistical profiling result from wlog.log, (8360 ticks, 8 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^ReadableState node:internal/streams/readable:78:23
      1    0.0%    0.0%  Function: ^Readable.pipe node:internal/streams/readable:654:35
      1    0.0%    0.0%  Function: ^Msg /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:469:16
      1    0.0%    0.0%  Function: ^Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      1    0.0%    0.0%  Function: ^JSONCookies /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/cookie-parser/index.js:103:22
      1    0.0%    0.0%  Function: ^Hash node:internal/crypto/hash:58:14
      1    0.0%    0.0%  Function: ^FastBuffer node:internal/buffer:958:14
      1    0.0%    0.0%  Function: ^Cookie /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/express-session/session/cookie.js:25:46
      1    0.0%    0.0%  Function: ^ConnectionCheckedOutEvent /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/connection_pool_events.js:115:16
      1    0.0%    0.0%  Function: ^CommandOperation /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/command.js:14:16
      1    0.0%    0.0%  Function: ^ClientSession /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/sessions.js:45:16
      1    0.0%    0.0%  Function: ^Binary /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/bson/lib/binary.js:26:20
      1    0.0%    0.0%  Function: ^BinMsg /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/cmap/commands.js:546:16
      1    0.0%    0.0%  Function: ^AbstractOperation /home/sashashadow/Escritorio/Coding/backend-coder/Clase 32/Entregable/node_modules/mongodb/lib/operations/operation.js:25:16
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/crypto/util:114:46
